name,mob_id,source_url,face_shape,vibe,cute_level,dark_level,power_level,description,image_url,human_match_score,face_visibility,object_like,animal_like,plant_like,eye_style,mouth_style,body_type,color_tone,match_tags,match_note
달팽이,100100,https://mapledb.kr/search.php?q=100100&t=mob,round,calm,8,1,2,둥글고 부드러운 외형을 가진 차분한 인상,https://maplestory.io/api/KMS/389/mob/100100/render/stand,4,3,7,2,1,big,smile,blob,bright,"귀여운,부드러운,차분한,달팽이,메이플스토리","부드러운 외형과 귀여운 인상으로 사람 얼굴 닮은꼴 매칭에 적합하지만, 얼굴이 잘 보이지 않아 점수가 낮음."
파란 달팽이,100101,https://mapledb.kr/search.php?q=100101&t=mob,round,cute,8,1,2,둥글고 부드러운 외형이지만 무표정한 인상,https://maplestory.io/api/KMS/389/mob/100101/render/stand,5,7,3,2,1,big,neutral,blob,bright,"귀여운,둥글다,부드러운,무표정,파란색",부드러운 외형과 큰 눈으로 사람 얼굴과의 매칭 가능성이 있음.
스포아,120100,https://mapledb.kr/search.php?q=120100&t=mob,round,dark,6,7,4,둥글고 말랑한 외형에 무서운 표정을 지닌 모습,https://maplestory.io/api/KMS/389/mob/120100/render/stand,3,8,2,1,1,big,angry,blob,neutral,"둥글다,무서운,버섯,어두운,귀여운","둥글고 무서운 표정이 사람 얼굴과의 매칭에서 낮은 점수를 주지만, 눈과 입이 잘 보임."
스텀프,130100,https://mapledb.kr/search.php?q=130100&t=mob,none,calm,2,4,6,각지고 단단하며 무표정한 인상,https://maplestory.io/api/KMS/389/mob/130100/render/stand,2,1,8,1,7,none,none,plant,neutral,"식물,무표정,강한,고요한,몬스터",사람 얼굴과의 닮은꼴 매칭이 어려운 식물형 몬스터입니다.
빨간 달팽이,130101,https://mapledb.kr/search.php?q=130101&t=mob,round,cute,8,1,2,둥글고 귀여운 인상으로 순한 느낌,https://maplestory.io/api/KMS/389/mob/130101/render/stand,6,8,2,1,1,big,neutral,blob,bright,"귀여운,둥글다,부드러운,순한,단순한",둥글고 귀여운 인상으로 사람 얼굴과의 매칭 가능성이 높음.
슬라임,210100,https://mapledb.kr/search.php?q=210100&t=mob,round,cute,8,1,2,둥글고 말랑한 외형에 귀엽고 순한 인상,https://maplestory.io/api/KMS/389/mob/210100/render/stand,5,6,4,2,1,big,smile,blob,bright,"귀여운,둥글다,부드럽다,순하다,색깔이 밝다","슬라임은 귀엽고 둥근 형태로, 사람 얼굴과의 매칭에서 중간 정도의 유사성을 보임."
초록버섯,1110100,https://mapledb.kr/search.php?q=1110100&t=mob,round,cute,8,1,2,둥글고 말랑한 외형에 귀여운 인상,https://maplestory.io/api/KMS/389/mob/1110100/render/stand,4,6,7,2,3,big,smile,blob,green,"귀여운,둥글다,부드럽다,식물형,작다","초록버섯은 귀여운 외형으로 사람 얼굴과의 닮은꼴 매칭이 가능하지만, 식물적인 요소가 강하다."
다크 스텀프,1110101,https://mapledb.kr/search.php?q=1110101&t=mob,none,dark/mysterious,2,8,6,각지고 단단하며 무표정한 인상,https://maplestory.io/api/KMS/389/mob/1110101/render/stand,2,1,8,1,7,none,none,plant,dark,"다크,식물,신비로운,강력한,무표정","사람 얼굴 닮은꼴 매칭이 어려운 식물형 몬스터로, 얼굴이 없어 사람과의 유사성이 낮음."
옥토퍼스,1120100,https://mapledb.kr/search.php?q=1120100&t=mob,round,mysterious,5,6,4,둥글고 기괴하며 기묘한 인상,https://maplestory.io/api/KMS/389/mob/1120100/render/stand,3,4,7,2,1,big,none,blob,purple,"옥토퍼스,기괴한,둥글고,신비로운,귀여운","사람 얼굴과의 유사성은 낮지만, 기괴한 인상으로 독특한 매력을 지님."
엑스텀프,1130100,https://mapledb.kr/search.php?q=1130100&t=mob,square,dark,2,8,7,각지고 단단하며 무표정한 인상,https://maplestory.io/api/KMS/389/mob/1130100/render/stand,3,4,8,1,5,none,none,object,dark,"목재,어둠,강력함,무표정,괴물","사람의 얼굴과 닮은꼴 요소가 적고, 주로 물체와 유사한 형태."
고스텀프,1140100,https://mapledb.kr/search.php?q=1140100&t=mob,square,calm,3,2,5,각지고 단단하며 차분한 인상,https://maplestory.io/api/KMS/389/mob/1140100/render/stand,2,3,7,1,6,big,neutral,plant,neutral,"식물,고유,차분한,귀여운,몬스터",사람 얼굴 닮은꼴 매칭 관점에서 식물 형태로 사람과의 유사성이 낮음.
돼지,1210100,https://mapledb.kr/search.php?q=1210100&t=mob,round,cute,8,1,2,둥글고 부드러운 외형으로 귀엽고 순한 인상,https://maplestory.io/api/KMS/389/mob/1210100/render/stand,5,7,2,6,1,big,smile,animal,bright,"귀여운,동물,부드러운,둥글다,순한",귀엽고 둥근 외형으로 사람 얼굴과의 매칭 가능성이 있음.
리본 돼지,1210101,https://mapledb.kr/search.php?q=1210101&t=mob,round,cute,8,1,2,둥글고 부드러운 외형이며 차분한 인상,https://maplestory.io/api/KMS/389/mob/1210101/render/stand,6,7,3,5,1,big,smile,animal,bright,"귀여운,동물,부드러운,둥글다,차분한",리본 돼지는 귀여운 외형과 둥근 얼굴로 사람 얼굴 닮은꼴 테스트에 적합하다.
