name,mob_id,source_url,image_url,face_shape,eye_style,expression,body_type,color_tone,human_like,animal_like,blob_like,ghost_like,object_like,plant_like,cute_level,dark_level,power_level,energy,shape_tag,eye_tag,expression_tag,species_tag,mood_tag,color_tag,size_tag,feature_tag,match_tags,match_note
달팽이,100100,https://mapledb.kr/search.php?q=100100&t=mob,https://maplestory.io/api/KMS/389/mob/100100/render/stand,round,simple,happy,blob,green,0,0,10,0,0,0,8,1,3,5,round,simple-eye,happy,blob,cute,green,small,jelly,"round,simple-eye,happy,blob,cute,green,small,jelly",둥글고 말랑한 외형이라 귀엽고 단순한 인상의 사람과 매칭하기 좋음
파란 달팽이,100101,https://mapledb.kr/search.php?q=100101&t=mob,https://maplestory.io/api/KMS/389/mob/100101/render/stand,round,simple,blank,blob,blue,0,0,10,0,0,0,7,1,2,4,round,simple-eye,blank,blob,calm,blue,small,jelly,"round,simple-eye,blank,blob,calm,blue,small,jelly",둥글고 부드러운 외형으로 차분한 인상의 사람과 매칭하기 좋음
스포아,120100,https://mapledb.kr/search.php?q=120100&t=mob,https://maplestory.io/api/KMS/389/mob/120100/render/stand,round,big,playful,plant,green,0,0,0,0,0,10,7,1,4,6,round,big-eye,playful,plant,cute,green,small,wood,"round,big-eye,playful,plant,cute,green,small,wood","둥글고 귀여운 외형으로, 장난기 있는 인상의 사람과 매칭하기 좋음"
스텀프,130100,https://mapledb.kr/search.php?q=130100&t=mob,https://maplestory.io/api/KMS/389/mob/130100/render/stand,none,simple,blank,plant,mixed,0,0,0,0,0,10,3,2,5,4,no-face,simple-eye,blank,plant,calm,brown,medium,wood,"no-face,simple-eye,blank,plant,calm,brown,medium,wood",나무와 같은 외형으로 차분하고 자연적인 인상의 사람과 매칭하기 좋음
빨간 달팽이,130101,https://mapledb.kr/search.php?q=130101&t=mob,https://maplestory.io/api/KMS/389/mob/130101/render/stand,round,simple,gentle,blob,red,0,0,10,0,0,0,7,1,2,4,round,simple-eye,gentle,blob,cute,red,small,jelly,"round,simple-eye,gentle,blob,cute,red,small,jelly",둥글고 말랑한 외형이라 귀엽고 부드러운 인상의 사람과 매칭하기 좋음
슬라임,210100,https://mapledb.kr/search.php?q=210100&t=mob,https://maplestory.io/api/KMS/389/mob/210100/render/stand,round,simple,happy,blob,green,0,0,10,0,0,0,8,1,3,5,round,simple-eye,happy,blob,cute,green,small,jelly,"round,simple-eye,happy,blob,cute,green,small,jelly",둥글고 말랑한 외형이라 귀엽고 단순한 인상의 사람과 매칭하기 좋음
초록버섯,1110100,https://mapledb.kr/search.php?q=1110100&t=mob,https://maplestory.io/api/KMS/389/mob/1110100/render/stand,round,simple,happy,blob,green,0,0,10,0,0,0,8,1,3,5,round,simple-eye,happy,blob,cute,green,small,jelly,"round,simple-eye,happy,blob,cute,green,small,jelly",둥글고 말랑한 외형이라 귀엽고 단순한 인상의 사람과 매칭하기 좋음
다크 스텀프,1110101,https://mapledb.kr/search.php?q=1110101&t=mob,https://maplestory.io/api/KMS/389/mob/1110101/render/stand,none,none,blank,plant,neutral,0,0,0,0,0,10,2,4,6,3,no-face,no-eye,blank,plant,dark,brown,medium,wood,"no-face,no-eye,blank,plant,dark,brown,medium,wood",나무와 같은 외형으로 어두운 분위기를 가진 사람과 매칭하기 좋음
옥토퍼스,1120100,https://mapledb.kr/search.php?q=1120100&t=mob,https://maplestory.io/api/KMS/389/mob/1120100/render/stand,round,sleepy,playful,blob,mixed,0,0,10,0,0,0,7,2,4,6,round,sleepy-eye,playful,blob,cute,purple,small,jelly,"round,sleepy-eye,playful,blob,cute,purple,small,jelly",둥글고 말랑한 외형으로 귀엽고 장난기 있는 인상의 사람과 매칭하기 좋음
엑스텀프,1130100,https://mapledb.kr/search.php?q=1130100&t=mob,https://maplestory.io/api/KMS/389/mob/1130100/render/stand,none,big,scary,plant,mixed,0,0,0,0,0,10,1,7,6,4,no-face,big-eye,scary,plant,dark,brown,medium,wood,"no-face,big-eye,scary,plant,dark,brown,medium,wood",무서운 외형과 나무 같은 특성으로 강렬한 인상의 사람과 매칭하기 좋음
고스텀프,1140100,https://mapledb.kr/search.php?q=1140100&t=mob,https://maplestory.io/api/KMS/389/mob/1140100/render/stand,square,simple,scary,plant,mixed,0,0,0,0,0,10,2,5,6,4,square,simple-eye,scary,plant,dark,brown,medium,wood,"square,simple-eye,scary,plant,dark,brown,medium,wood",나무 형태로 어두운 분위기를 가진 사람과 매칭하기 좋음
돼지,1210100,https://mapledb.kr/search.php?q=1210100&t=mob,https://maplestory.io/api/KMS/389/mob/1210100/render/stand,round,big,playful,animal,mixed,0,10,0,0,0,0,9,0,2,6,round,big-eye,playful,animal,cute,pink,small,pet-like,"round,big-eye,playful,animal,cute,pink,small,pet-like","둥글고 귀여운 외형으로, 장난기 가득한 인상의 사람과 매칭하기 좋음"
리본 돼지,1210101,https://mapledb.kr/search.php?q=1210101&t=mob,https://maplestory.io/api/KMS/389/mob/1210101/render/stand,round,big,happy,blob,mixed,0,0,10,0,0,0,9,0,2,6,round,big-eye,happy,blob,cute,pink,small,jelly,"round,big-eye,happy,blob,cute,pink,small,jelly","둥글고 귀여운 외형으로, 밝고 행복한 인상의 사람과 잘 어울림"
주황버섯,1210102,https://mapledb.kr/search.php?q=1210102&t=mob,https://maplestory.io/api/KMS/389/mob/1210102/render/stand,round,simple,happy,blob,warm,0,0,10,0,0,0,9,1,2,6,round,simple-eye,happy,blob,cute,orange,small,jelly,"round,simple-eye,happy,blob,cute,orange,small,jelly",둥글고 말랑한 외형이라 귀엽고 단순한 인상의 사람과 매칭하기 좋음
버블링,1210103,https://mapledb.kr/search.php?q=1210103&t=mob,https://maplestory.io/api/KMS/389/mob/1210103/render/stand,round,big,happy,blob,cool,0,0,10,0,0,0,9,0,2,6,round,big-eye,happy,blob,cute,blue,small,jelly,"round,big-eye,happy,blob,cute,blue,small,jelly",둥글고 말랑한 외형이라 귀엽고 밝은 인상의 사람과 매칭하기 좋음
흰 모래토끼,2100100,https://mapledb.kr/search.php?q=2100100&t=mob,https://maplestory.io/api/KMS/389/mob/2100100/render/stand,round,big,happy,blob,neutral,0,0,10,0,0,0,9,1,2,4,round,big-eye,happy,blob,cute,white,small,jelly,"round,big-eye,happy,blob,cute,white,small,jelly","둥글고 귀여운 외형으로, 밝고 행복한 인상의 사람과 잘 어울림"
갈색 모래토끼,2100101,https://mapledb.kr/search.php?q=2100101&t=mob,https://maplestory.io/api/KMS/389/mob/2100101/render/stand,round,simple,happy,animal,neutral,0,10,0,0,0,0,9,1,2,4,round,simple-eye,happy,animal,cute,brown,small,pet-like,"round,simple-eye,happy,animal,cute,brown,small,pet-like","귀엽고 둥글며 부드러운 외형으로, 사랑스러운 인상의 사람과 잘 어울림"
주니어 카투스,2100102,https://mapledb.kr/search.php?q=2100102&t=mob,https://maplestory.io/api/KMS/389/mob/2100102/render/stand,round,big,happy,plant,green,0,0,0,0,0,10,9,0,2,4,round,big-eye,happy,plant,cute,green,small,wood,"round,big-eye,happy,plant,cute,green,small,wood","둥글고 귀여운 식물형 외형으로, 밝고 사랑스러운 인상의 사람과 매칭하기 좋음"
카투스,2100103,https://mapledb.kr/search.php?q=2100103&t=mob,https://maplestory.io/api/KMS/389/mob/2100103/render/stand,round,simple,happy,blob,green,0,0,10,0,0,0,8,1,3,5,round,simple-eye,happy,blob,cute,green,small,jelly,"round,simple-eye,happy,blob,cute,green,small,jelly",둥글고 말랑한 외형이라 귀엽고 단순한 인상의 사람과 매칭하기 좋음
로얄 카투스,2100104,https://mapledb.kr/search.php?q=2100104&t=mob,https://maplestory.io/api/KMS/389/mob/2100104/render/stand,round,big,happy,plant,green,0,0,0,0,0,10,7,1,4,6,round,big-eye,happy,plant,cute,green,medium,wood,"round,big-eye,happy,plant,cute,green,medium,wood","둥글고 귀여운 식물형 외형으로, 밝고 긍정적인 인상의 사람과 매칭하기 좋음"
벨라모아,2100105,https://mapledb.kr/search.php?q=2100105&t=mob,https://maplestory.io/api/KMS/389/mob/2100105/render/stand,round,big,playful,blob,green,0,0,10,0,0,0,9,1,2,6,round,big-eye,playful,blob,cute,green,small,jelly,"round,big-eye,playful,blob,cute,green,small,jelly","둥글고 귀여운 외형으로, 장난기 가득한 인상의 사람과 잘 어울림"
귀마개 프릴드,2100106,https://mapledb.kr/search.php?q=2100106&t=mob,https://maplestory.io/api/KMS/389/mob/2100106/render/stand,round,big,playful,mixed,neutral,8,0,0,0,0,0,6,1,4,7,round,big-eye,playful,human,bright,gray,medium,npc-like,"round,big-eye,playful,human,bright,gray,medium,npc-like","둥글고 큰 눈을 가진 외형으로, 밝고 장난기 있는 인상의 사람과 매칭하기 좋음"
목도리 프릴드,2100107,https://mapledb.kr/search.php?q=2100107&t=mob,https://maplestory.io/api/KMS/389/mob/2100107/render/stand,round,big,happy,blob,green,0,0,10,0,0,0,9,1,2,6,round,big-eye,happy,blob,cute,green,small,jelly,"round,big-eye,happy,blob,cute,green,small,jelly","둥글고 귀여운 외형으로, 밝고 긍정적인 인상의 사람과 잘 어울림"
미요캐츠,2100108,https://mapledb.kr/search.php?q=2100108&t=mob,https://maplestory.io/api/KMS/389/mob/2100108/render/stand,round,big,playful,animal,neutral,0,10,0,0,0,0,7,0,2,6,round,big-eye,playful,animal,cute,gray,small,pet-like,"round,big-eye,playful,animal,cute,gray,small,pet-like","귀엽고 장난기 가득한 외형으로, 친근한 인상의 사람과 매칭하기 좋음"
뿔버섯,2110200,https://mapledb.kr/search.php?q=2110200&t=mob,https://maplestory.io/api/KMS/389/mob/2110200/render/stand,round,simple,happy,blob,green,0,0,10,0,0,0,8,1,3,5,round,simple-eye,happy,blob,cute,green,small,jelly,"round,simple-eye,happy,blob,cute,green,small,jelly",둥글고 말랑한 외형이라 귀엽고 단순한 인상의 사람과 매칭하기 좋음
모래 두더지,2110300,https://mapledb.kr/search.php?q=2110300&t=mob,https://maplestory.io/api/KMS/389/mob/2110300/render/stand,round,simple,playful,blob,neutral,0,0,10,0,0,0,7,1,2,4,round,simple-eye,playful,blob,cute,gray,small,jelly,"round,simple-eye,playful,blob,cute,gray,small,jelly","둥글고 귀여운 외형으로, 장난기 있는 인상의 사람과 잘 어울림"
스콜피언,2110301,https://mapledb.kr/search.php?q=2110301&t=mob,https://maplestory.io/api/KMS/389/mob/2110301/render/stand,round,big,playful,mixed,mixed,2,3,0,0,0,0,6,2,4,7,round,big-eye,playful,mixed-body,cool,brown,medium,npc-like,"round,big-eye,playful,mixed-body,cool,brown,medium,npc-like","둥글고 장난기 가득한 외형으로, 귀엽고 활기찬 인상의 사람과 매칭하기 좋음"
다크 엑스텀프,2130100,https://mapledb.kr/search.php?q=2130100&t=mob,https://maplestory.io/api/KMS/389/mob/2130100/render/stand,round,none,blank,plant,neutral,0,0,0,0,0,10,2,3,5,4,round,no-eye,blank,plant,calm,brown,medium,wood,"round,no-eye,blank,plant,calm,brown,medium,wood",나무 형태로 차분한 분위기를 가진 사람과 매칭하기 좋음
주니어 네키,2130103,https://mapledb.kr/search.php?q=2130103&t=mob,https://maplestory.io/api/KMS/389/mob/2130103/render/stand,round,big,playful,blob,green,0,0,10,0,0,0,9,0,2,6,round,big-eye,playful,blob,cute,green,small,jelly,"round,big-eye,playful,blob,cute,green,small,jelly",둥글고 말랑한 외형으로 귀엽고 장난기 있는 인상의 사람과 매칭하기 좋음
마노,2220000,https://mapledb.kr/search.php?q=2220000&t=mob,https://maplestory.io/api/KMS/389/mob/2220000/render/stand,round,simple,gentle,blob,green,0,0,10,0,0,0,7,1,2,4,round,simple-eye,gentle,blob,cute,green,small,jelly,"round,simple-eye,gentle,blob,cute,green,small,jelly",둥글고 부드러운 외형으로 귀엽고 온화한 인상의 사람과 잘 어울림
파란버섯,2220100,https://mapledb.kr/search.php?q=2220100&t=mob,https://maplestory.io/api/KMS/389/mob/2220100/render/stand,round,simple,happy,blob,cool,0,0,10,0,0,0,9,1,2,4,round,simple-eye,happy,blob,cute,blue,small,jelly,"round,simple-eye,happy,blob,cute,blue,small,jelly",둥글고 말랑한 외형이라 귀엽고 단순한 인상의 사람과 매칭하기 좋음
이블아이,2230100,https://mapledb.kr/search.php?q=2230100&t=mob,https://maplestory.io/api/KMS/389/mob/2230100/render/stand,round,big,playful,blob,yellow,0,0,10,0,0,0,7,1,4,6,round,big-eye,playful,blob,cute,yellow,small,jelly,"round,big-eye,playful,blob,cute,yellow,small,jelly","둥글고 귀여운 외형으로, 장난기 가득한 인상의 사람과 매칭하기 좋음"
좀비버섯,2230101,https://mapledb.kr/search.php?q=2230101&t=mob,https://maplestory.io/api/KMS/389/mob/2230101/render/stand,round,simple,playful,blob,neutral,0,0,10,0,0,0,9,1,2,6,round,simple-eye,playful,blob,cute,gray,small,jelly,"round,simple-eye,playful,blob,cute,gray,small,jelly",둥글고 말랑한 외형으로 귀엽고 장난기 있는 인상의 사람과 매칭하기 좋음
와일드보어,2230102,https://mapledb.kr/search.php?q=2230102&t=mob,https://maplestory.io/api/KMS/389/mob/2230102/render/stand,round,small,angry,animal,neutral,0,10,0,0,0,0,2,3,7,6,round,small-eye,angry,animal,wild,brown,medium,pet-like,"round,small-eye,angry,animal,wild,brown,medium,pet-like","둥글고 강한 인상의 외형으로, 강렬한 분위기를 가진 사람과 매칭하기 좋음"
트릭스터,2230103,https://mapledb.kr/search.php?q=2230103&t=mob,https://maplestory.io/api/KMS/389/mob/2230103/render/stand,round,big,playful,blob,neutral,0,0,10,0,0,0,9,2,4,6,round,big-eye,playful,blob,cute,gray,small,jelly,"round,big-eye,playful,blob,cute,gray,small,jelly","둥글고 귀여운 외형으로, 장난기 가득한 인상의 사람과 잘 어울림"
그린 트릭스터,2230104,https://mapledb.kr/search.php?q=2230104&t=mob,https://maplestory.io/api/KMS/389/mob/2230104/render/stand,round,big,playful,blob,green,0,0,10,0,0,0,9,1,2,6,round,big-eye,playful,blob,cute,green,small,jelly,"round,big-eye,playful,blob,cute,green,small,jelly","둥글고 귀여운 외형으로, 장난기 가득한 인상의 사람과 잘 어울림"
