name,source_url,face_shape,vibe,cute_level,dark_level,power_level,description,image_url
달팽이 LEVEL 1 HP 8 EXP 3,https://mapledb.kr/search.php?q=100100&t=mob,round,cute,5,3,5,달팽이 LEVEL 1 HP 8 EXP 3의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
파란 달팽이 LEVEL 2 HP 15 EXP 4,https://mapledb.kr/search.php?q=100101&t=mob,round,cute,5,3,5,파란 달팽이 LEVEL 2 HP 15 EXP 4의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
스포아 LEVEL 2 HP 20 EXP 5,https://mapledb.kr/search.php?q=120100&t=mob,round,cute,5,3,5,스포아 LEVEL 2 HP 20 EXP 5의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
스텀프 LEVEL 4 HP 45 EXP 8,https://mapledb.kr/search.php?q=130100&t=mob,round,cute,5,3,5,스텀프 LEVEL 4 HP 45 EXP 8의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
빨간 달팽이 LEVEL 4 HP 40 EXP 8,https://mapledb.kr/search.php?q=130101&t=mob,round,cute,5,3,5,빨간 달팽이 LEVEL 4 HP 40 EXP 8의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
슬라임 LEVEL 6 HP 50 EXP 10,https://mapledb.kr/search.php?q=210100&t=mob,round,cute,5,3,5,슬라임 LEVEL 6 HP 50 EXP 10의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
초록버섯 LEVEL 15 HP 250 EXP 26,https://mapledb.kr/search.php?q=1110100&t=mob,round,cute,5,3,5,초록버섯 LEVEL 15 HP 250 EXP 26의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
다크 스텀프 LEVEL 10 HP 250 EXP 18,https://mapledb.kr/search.php?q=1110101&t=mob,round,cute,5,3,5,다크 스텀프 LEVEL 10 HP 250 EXP 18의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
옥토퍼스 LEVEL 12 HP 200 EXP 24,https://mapledb.kr/search.php?q=1120100&t=mob,round,cute,5,3,5,옥토퍼스 LEVEL 12 HP 200 EXP 24의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
엑스텀프 LEVEL 17 HP 300 EXP 30,https://mapledb.kr/search.php?q=1130100&t=mob,round,cute,5,3,5,엑스텀프 LEVEL 17 HP 300 EXP 30의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
고스텀프 LEVEL 19 HP 330 EXP 33,https://mapledb.kr/search.php?q=1140100&t=mob,round,cute,5,3,5,고스텀프 LEVEL 19 HP 330 EXP 33의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
돼지 LEVEL 7 HP 75 EXP 15,https://mapledb.kr/search.php?q=1210100&t=mob,round,cute,5,3,5,돼지 LEVEL 7 HP 75 EXP 15의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
리본 돼지 LEVEL 10 HP 120 EXP 20,https://mapledb.kr/search.php?q=1210101&t=mob,round,cute,5,3,5,리본 돼지 LEVEL 10 HP 120 EXP 20의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
주황버섯 LEVEL 8 HP 80 EXP 15,https://mapledb.kr/search.php?q=1210102&t=mob,round,cute,5,3,5,주황버섯 LEVEL 8 HP 80 EXP 15의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
버블링 LEVEL 15 HP 240 EXP 26,https://mapledb.kr/search.php?q=1210103&t=mob,round,cute,5,3,5,버블링 LEVEL 15 HP 240 EXP 26의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
흰 모래토끼 LEVEL 20 HP 350 EXP 32,https://mapledb.kr/search.php?q=2100100&t=mob,round,cute,5,3,5,흰 모래토끼 LEVEL 20 HP 350 EXP 32의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
갈색 모래토끼 LEVEL 21 HP 400 EXP 34,https://mapledb.kr/search.php?q=2100101&t=mob,round,cute,5,3,5,갈색 모래토끼 LEVEL 21 HP 400 EXP 34의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
주니어 카투스 LEVEL 22 HP 450 EXP 37,https://mapledb.kr/search.php?q=2100102&t=mob,round,cute,5,3,5,주니어 카투스 LEVEL 22 HP 450 EXP 37의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
카투스 LEVEL 25 HP 550 EXP 47,https://mapledb.kr/search.php?q=2100103&t=mob,round,cute,5,3,5,카투스 LEVEL 25 HP 550 EXP 47의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
로얄 카투스 LEVEL 28 HP 750 EXP 55,https://mapledb.kr/search.php?q=2100104&t=mob,round,cute,5,3,5,로얄 카투스 LEVEL 28 HP 750 EXP 55의 외형과 분위기를 기반으로 한 메이플 몬스터 후보,https://maplestory.io/api/gms/62/mob/100100/icon?resize=2
